,Name,Historical return,Market Volatility,Risk Level,Expected Returns,Expected Risks
0,AAL,-0.165661995,0.388790909,2,-0.15977202,2.3937984
1,AAPL,0.107761637,0.202906915,2,0.10490103,1.7486904
2,AAP,0.019723312,0.421692848,3,0.024406768,2.426585
3,ABBV,0.199786723,0.183487045,1,0.20150341,1.1812768
4,ABT,0.034015723,0.178371754,1,0.03374745,1.0791637
5,ACN,-0.033322659,0.211407114,2,-0.031070359,2.001789
6,ADBE,0.124322243,0.319068417,2,0.12204489,2.0032072
7,ADI,0.369363056,0.271441338,2,0.36651462,2.0270362
8,ADM,-0.07071027,0.327348986,2,-0.0699815,2.0871003
9,ADP,0.200537992,0.185731308,1,0.201885,1.1985146
10,ADSK,0.039826923,0.269284086,2,0.037731696,2.0141935
11,AEE,-0.069452491,0.204772399,2,-0.06622161,1.8478636
12,AEP,0.130656368,0.203837344,2,0.12902404,1.8003488
13,AES,0.223367407,0.359777378,2,0.22854748,2.1807592
14,AFL,0.430009465,0.191456193,1,0.43415666,1.1471338
15,AIG,0.541813303,0.17901504,1,0.5460383,0.99849105
16,AIV,-0.003358927,0.28714781,2,-0.005534567,2.0299718
17,AIZ,0.479538709,0.225886485,2,0.4811235,1.9755261
18,AJG,0.27622881,0.174703125,1,0.28012604,1.1535636
19,AKAM,0.00564633,0.228845093,2,0.006062612,2.0144627
20,ALB,-0.258701449,0.525035582,3,-0.23585038,3.0194678
21,ALGN,0.013217648,0.45984078,3,0.030004479,2.5899901
22,ALK,-0.0268927,0.344351499,2,-0.028963968,2.126702
23,ALLE,0.201136075,0.234379108,2,0.19705908,2.0392797
24,ALL,0.60910564,0.226569091,2,0.61503875,1.9640756
25,AMAT,0.73085347,0.329146835,2,0.73542804,2.0095885
26,AMD,0.569303245,0.461046912,3,0.5720489,2.7425158
27,AME,0.180385157,0.166489608,1,0.1825158,1.0448833
28,AMGN,0.452312305,0.249679917,2,0.45344198,1.9950421
29,AMG,0.191088595,0.244882051,2,0.18792608,2.0335622
30,AMP,0.489221913,0.17659463,1,0.4931606,0.99612916
31,AMT,0.106199289,0.253444209,2,0.105656326,2.014774
32,AMZN,0.548741078,0.281227492,2,0.5520179,2.0010576
33,ANSS,0.032192231,0.299779468,2,0.029859882,2.013396
34,AON,-0.075800198,0.201574169,2,-0.07200064,1.7131828
35,AOS,0.336998381,0.21653823,2,0.34010988,1.9998026
36,APA,0.012515534,0.319799529,2,0.01033438,2.0345314
37,APD,0.034146623,0.277148893,2,0.031853803,2.014176
38,APH,0.811565467,0.175474009,1,0.8240468,0.9709524
39,APTV,-0.013106205,0.344558964,2,-0.015846431,2.1204946
40,ARE,0.132460042,0.335849321,2,0.13019314,2.0473082
41,AVB,0.156583317,0.202367601,2,0.15485203,1.7453192
42,AVGO,0.830770501,0.34684248,2,0.83834875,2.068809
43,AVY,0.436637036,0.183720384,1,0.4417224,1.0802014
44,AWK,-0.085175425,0.21822041,2,-0.080551416,2.018368
45,AXP,0.554406641,0.214405339,2,0.5581546,1.948103
46,AYI,0.77257937,0.262784406,2,0.7755502,1.9412758
47,AZO,0.188102693,0.210261292,2,0.18719254,2.0254798
48,A,0.18850144,0.273165365,2,0.18693441,2.020084
49,BAC,0.475596242,0.234015064,2,0.47755772,1.9801633
50,BAX,-0.122137802,0.274859996,2,-0.11738011,2.060297
51,BA,-0.119508993,0.309468617,2,-0.11520851,2.0760336
52,BBY,0.229217674,0.2902075,2,0.2257973,2.0267546
53,BDX,-0.028846395,0.197813529,1,-0.024981715,1.539844
