Name,Historical return,Market Volatility,Risk Level
AAL,-0.165661995,0.388790909,Medium
AAPL,0.107761637,0.202906915,Medium
AAP,0.019723312,0.421692848,High
ABBV,0.199786723,0.183487045,Low
ABT,0.034015723,0.178371754,Low
ACN,-0.033322659,0.211407114,Medium
ADBE,0.124322243,0.319068417,Medium
ADI,0.369363056,0.271441338,Medium
ADM,-0.07071027,0.327348986,Medium
ADP,0.200537992,0.185731308,Low
ADSK,0.039826923,0.269284086,Medium
AEE,-0.069452491,0.204772399,Medium
AEP,0.130656368,0.203837344,Medium
AES,0.223367407,0.359777378,Medium
AFL,0.430009465,0.191456193,Low
AIG,0.541813303,0.17901504,Low
AIV,-0.003358927,0.28714781,Medium
AIZ,0.479538709,0.225886485,Medium
AJG,0.27622881,0.174703125,Low
AKAM,0.00564633,0.228845093,Medium
ALB,-0.258701449,0.525035582,High
ALGN,0.013217648,0.45984078,High
ALK,-0.0268927,0.344351499,Medium
ALLE,0.201136075,0.234379108,Medium
ALL,0.60910564,0.226569091,Medium
AMAT,0.73085347,0.329146835,Medium
AMD,0.569303245,0.461046912,High
AME,0.180385157,0.166489608,Low
AMGN,0.452312305,0.249679917,Medium
AMG,0.191088595,0.244882051,Medium
AMP,0.489221913,0.17659463,Low
AMT,0.106199289,0.253444209,Medium
AMZN,0.548741078,0.281227492,Medium
ANSS,0.032192231,0.299779468,Medium
AON,-0.075800198,0.201574169,Medium
AOS,0.336998381,0.21653823,Medium
APA,0.012515534,0.319799529,Medium
APD,0.034146623,0.277148893,Medium
APH,0.811565467,0.175474009,Low
APTV,-0.013106205,0.344558964,Medium
ARE,0.132460042,0.335849321,Medium
AVB,0.156583317,0.202367601,Medium
AVGO,0.830770501,0.34684248,Medium
AVY,0.436637036,0.183720384,Low
AWK,-0.085175425,0.21822041,Medium
AXP,0.554406641,0.214405339,Medium
AYI,0.77257937,0.262784406,Medium
AZO,0.188102693,0.210261292,Medium
A,0.18850144,0.273165365,Medium
BAC,0.475596242,0.234015064,Medium
BAX,-0.122137802,0.274859996,Medium
BA,-0.119508993,0.309468617,Medium
BBY,0.229217674,0.2902075,Medium
BDX,-0.028846395,0.197813529,Low
BEN,0.045814433,0.281374561,Medium
BHF,0.14548611,0.332245157,Medium
BIIB,-0.236461279,0.241250633,Medium
BK,0.535031645,0.194287513,Low
BLK,0.215008362,0.19785866,Low
BMY,-0.334535281,0.213209068,Medium
BSX,0.487085571,0.196063914,Low
BWA,-0.039812761,0.322706743,Medium
BXP,0.382877892,0.404976778,High
CAG,-0.105892786,0.204328716,Medium
CAH,0.240747752,0.213395763,Medium
CAT,0.747671082,0.276490848,Medium
CA,-0.030227091,0.035393446,Low
CBOE,0.354056572,0.190769462,Low
CB,0.475936354,0.182108514,Low
CCI,-0.037122497,0.256193963,Medium
CCL,0.504218057,0.460952948,High
CDNS,0.290860175,0.256438896,Medium
CFG,0.500049823,0.347788662,Medium
CF,0.336133651,0.287896464,Medium
CHD,0.159004251,0.169624184,Low
CHK,0.270123861,0.251815399,Medium
CHRW,-0.036707507,0.289230057,Medium
CHTR,-0.099975923,0.346245716,Medium
CINF,0.268006781,0.211600729,Medium
CI,0.416356669,0.279520671,Medium
CLX,-0.132895788,0.237504265,Medium
CL,0.266249055,0.139090243,Low
CMA,0.590456762,0.391426448,Medium
